name,SA,ft_VehPassed_sum_0hop,rl_VehPassed_sum_0hop,imp_VehPassed_sum_0hop,ft_VehPassed_sum_1hop,rl_VehPassed_sum_1hop,imp_VehPassed_sum_1hop,ft_AverageSpeed_mean_0hop,rl_AverageSpeed_mean_0hop,imp_AverageSpeed_mean_0hop,ft_AverageSpeed_mean_1hop,rl_AverageSpeed_mean_1hop,imp_AverageSpeed_mean_1hop,ft_WaitingTime_sum_0hop,rl_WaitingTime_sum_0hop,imp_WaitingTime_sum_0hop,ft_WaitingTime_sum_1hop,rl_WaitingTime_sum_1hop,imp_WaitingTime_sum_1hop,ft_AverageDensity_mean_0hop,rl_AverageDensity_mean_0hop,imp_AverageDensity_mean_0hop,ft_AverageDensity_mean_1hop,rl_AverageDensity_mean_1hop,imp_AverageDensity_mean_1hop,ft_SumTravelTime_sum_0hop,rl_SumTravelTime_sum_0hop,imp_SumTravelTime_sum_0hop,ft_SumTravelTime_sum_1hop,rl_SumTravelTime_sum_1hop,imp_SumTravelTime_sum_1hop,ft_WaitingQLength_mean_0hop,rl_WaitingQLength_mean_0hop,imp_WaitingQLength_mean_0hop,ft_WaitingQLength_mean_1hop,rl_WaitingQLength_mean_1hop,imp_WaitingQLength_mean_1hop
구암119안전센터삼거리,SA 101,0,356.0,0.0,0,999.0,0.0,,37.89,,,26.03,,0.0,0.0,0.0,0.0,1315.2,0.0,,0.01,,,0.04,,0.0,4083.0,0.0,0.0,22916.0,0.0,,50.66,,,33.02,
도안1단지(단),SA 101,0,382.0,0.0,0,1053.0,0.0,,27.01,,,24.84,,0.0,170.2,0.0,0.0,2331.9,0.0,,0.02,,,0.02,,0.0,4701.0,0.0,0.0,32062.0,0.0,,35.48,,,21.2,
도안1단지네거리,SA 101,0,464.0,0.0,0,1473.0,0.0,,18.08,,,25.46,,0.0,2161.7,0.0,0.0,5243.9,0.0,,0.04,,,0.02,,0.0,25947.0,0.0,0.0,81919.0,0.0,,31.9,,,40.81,
도안5단지네거리,SA 101,0,444.0,0.0,0,1609.0,0.0,,21.95,,,22.99,,0.0,2841.4,0.0,0.0,8262.4,0.0,,0.04,,,0.03,,0.0,29919.0,0.0,0.0,109367.0,0.0,,77.01,,,51.82,
상대초교(단),SA 101,0,396.0,0.0,0,791.0,0.0,,21.84,,,26.13,,0.0,235.6,0.0,0.0,248.8,0.0,,0.01,,,0.01,,0.0,4091.0,0.0,0.0,5957.0,0.0,,16.32,,,10.61,
원골(단),SA 101,0,384.0,0.0,0,642.0,0.0,,30.53,,,33.83,,0.0,459.8,0.0,0.0,459.8,0.0,,0.02,,,0.02,,0.0,12154.0,0.0,0.0,12927.0,0.0,,154.43,,,72.41,
원골네거리,SA 101,0,330.0,0.0,0,1090.0,0.0,,17.99,,,26.24,,0.0,2337.3,0.0,0.0,3517.8,0.0,,0.04,,,0.02,,0.0,24161.0,0.0,0.0,45195.0,0.0,,56.35,,,59.76,
유성고후문(단)(5-1번),SA 101,0,415.0,0.0,0,838.0,0.0,,30.63,,,31.25,,0.0,181.1,0.0,0.0,181.4,0.0,,0.01,,,0.01,,0.0,4281.0,0.0,0.0,7191.0,0.0,,17.21,,,12.19,
인삼골네거리,SA 101,0,453.0,0.0,0,921.0,0.0,,20.54,,,22.67,,0.0,2334.2,0.0,0.0,4419.0,0.0,,0.04,,,0.03,,0.0,51964.0,0.0,0.0,66113.0,0.0,,29.83,,,23.3,
진터네거리,SA 101,0,705.0,0.0,0,1561.0,0.0,,27.42,,,25.66,,0.0,3082.0,0.0,0.0,5923.9,0.0,,0.04,,,0.03,,0.0,53820.0,0.0,0.0,84938.0,0.0,,102.04,,,62.95,
SA 101,total,0,4329.0,0.0,0,7945.0,0.0,,24.64,,,26.39,,0.0,13803.3,0.0,0.0,17939.9,0.0,,0.03,,,0.02,,0.0,215121.0,0.0,0.0,268764.0,0.0,,57.28,,,28.49,
total,total,0,4329.0,0.0,0,7945.0,0.0,,24.64,,,26.39,,0.0,13803.3,0.0,0.0,17939.9,0.0,,0.03,,,0.02,,0.0,215121.0,0.0,0.0,268764.0,0.0,,57.28,,,28.49,
